候補者の氏名,ふりがな,性別,年齢,党派名,候補者のウェブサイト等のアドレス,,選挙区,候補者のウェブサイト等のアドレス,Twitter,Facebook,YouTube,Instagram
森まさこ,もりまさこ,女,54歳,自由民主党,http://morimasako.com,,福島県,http://morimasako.com,https://twitter.com/morimasakosangi,https://www.facebook.com/morisangiin,https://www.youtube.com/user/morimasakotv/,https://www.instagram.com/mori_masako_/
水野さちこ,みずのさちこ,女,57歳,無所属,http://www.mizuno-sachiko.com,,福島県,http://www.mizuno-sachiko.com,https://twitter.com/MizunoSns,https://www.facebook.com/mizuno.sachiko.fukushima/,https://www.youtube.com/channel/UCjjULtBbgvKD8so6h2tPOrg,
田山雅仁,たやままさひと,男,35歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,福島県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
田中健,たなかけん,男,53歳,NHKから国民を守る党,http://nhkkara.jp/,,茨城県,http://nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
海野とおる,うみのとおる,男,70歳,日本維新の会,https://uminotooru.jimdofree.com/,,茨城県,https://uminotooru.jimdofree.com/,,,,
おぬまたくみ,おぬまたくみ,男,33歳,立憲民主党,https://www.onumatakumi.com,,茨城県,https://www.onumatakumi.com,https://twitter.com/onuchan1221,https://www.facebook.com/Takumi.ONUMA,https://www.youtube.com/channel/UCBfpCxJbVi93oTLtHPTdfCA,https://www.instagram.com/onuchan1221/
大内くみ子,おおうちくみこ,女,69歳,日本共産党,http://ibjcp.gr.jp/,,茨城県,http://ibjcp.gr.jp/,https://twitter.com/ibarakijcp,,https://www.youtube.com/user/ibarakijcp,
上月りょうすけ,こうづきりょうすけ,男,56歳,自由民主党,http://www.kouzuki-r.com/,,茨城県,http://www.kouzuki-r.com/,,https://www.facebook.com/ryosuke.kozuki.3,https://www.youtube.com/channel/UCSs7ByH1uFFkdCCVODukWkg,
町田紀光,まちだとしみつ,男,40歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,栃木県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
高橋かつのり,たかはしかつのり,男,61歳,自由民主党,https://www.katsunori.info,,栃木県,https://www.katsunori.info,,https://www.facebook.com/TakahashiKatsunoriOfficial,https://www.youtube.com/channel/UCExKhGliuOkiIUirLOJIulQ/,
加藤ちほ,かとうちほ,女,43歳,立憲民主党,https://www.katochiho.com,,栃木県,https://www.katochiho.com,https://twitter.com/Katochiho2019,https://www.facebook.com/KatoChiho/,https://www.youtube.com/channel/UCri0clR4AfmW474nBtrWymA,https://www.instagram.com/chiho_kato_2019/
清水まさと,しみずまさと,男,44歳,自由民主党,http://www.shimizumasato.com/,,群馬県,http://www.shimizumasato.com/,,https://www.facebook.com/shimizumasato.official/,,
斉藤あつこ,さいとうあつこ,女,51歳,立憲民主党,https://saitoh-atsuko.com/,,群馬県,https://saitoh-atsuko.com/,https://twitter.com/saitoh_atsuko,https://www.facebook.com/info.a.saitoh,,https://www.instagram.com/info.a.saitoh/
前田みか子,まえだみかこ,女,47歳,NHKから国民を守る党,https://mobile.twitter.com/nhkkara_miika,,群馬県,https://mobile.twitter.com/nhkkara_miika,,,,
ししどちえ,ししどちえ,女,41歳,国民民主党,http://www.shishidochie.jp,,埼玉県,http://www.shishidochie.jp,https://twitter.com/shishidochie,https://www.facebook.com/shishidochie.jp/,,https://www.instagram.com/shishidochie.jp/
伊藤岳,いとうがく,男,59歳,日本共産党,http://ito-gaku.jp/,,埼玉県,http://ito-gaku.jp/,https://twitter.com/gaku_ito,https://m.facebook.com/gaku.ito.jcp,https://www.youtube.com/user/JCPSAI,
矢倉かつお,やくらかつお,男,44歳,公明党,https://yakura-katsuo.jp/,,埼玉県,https://yakura-katsuo.jp/,https://twitter.com/yakura_katsuo,https://www.facebook.com/yakura.katsuo/,,https://www.instagram.com/katsuogram_2019/?hl=ja
沢田良,さわだりょう,男,39歳,日本維新の会,http://sawadaryo.com/,,埼玉県,http://sawadaryo.com/,https://twitter.com/saitama_ishin,https://www.facebook.com/sawada.ryo.7,https://www.youtube.com/channel/UClUzoIyJRulKoUIDxXznNBQ,
さめじま良司,さめじまりょうじ,男,64歳,安楽死制度を考える会,,,埼玉県,,,,,
くまがい裕人,くまがいひろと,男,57歳,立憲民主党,http://www.kumachan55.jp,,埼玉県,http://www.kumachan55.jp,https://twitter.com/KumagaiHiroto,https://www.facebook.com/hiroto.kumagai.7,,
古川俊治,ふるかわとしはる,男,56歳,自由民主党,https://www.toshiharu-furukawa.jp,,埼玉県,https://www.toshiharu-furukawa.jp,,https://www.facebook.com/furukawatoshiharu,http://www.youtube.com/channel/UC6Et4_9bdVeg3CynVTMQjiw?feature=watch,
小島一郎,こじまいちろう,男,48歳,幸福実現党,https://kojima-ichiro.net,,埼玉県,https://kojima-ichiro.net,https://twitter.com/kojimaichiro,https://www.facebook.com/kojima.ichiro,http://www.youtube.com/user/theFACTtvChannel/featured,
佐藤恵理子,さとうえりぃ,女,33歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,埼玉県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
石井準一,いしいじゅんいち,男,61歳,自由民主党,http://www.ishii-junichi.com/,,千葉県,http://www.ishii-junichi.com/,,https://www.facebook.com/keit141,https://www.youtube.com/channel/UCj0wSW_Db7HjjHHWBNW7DFQ,
長浜ひろゆき,ながはまひろゆき,男,60歳,立憲民主党,http://www.nagahamahiroyuki.com,,千葉県,http://www.nagahamahiroyuki.com,https://twitter.com/nagahama1020?ref_src=twsrc%5Etfw,https://www.facebook.com/sangiin.nagahamahiroyuki/,https://www.youtube.com/channel/UCpbggSIYtRm9_OKwbzh8jWw,https://instagram.com/nagahama_hiroyuki
豊田としろう,とよだとしろう,男,66歳,自由民主党,https://toyodatoshiro.jp/,,千葉県,https://toyodatoshiro.jp/,,https://www.facebook.com/toyodatoshiro/,https://www.youtube.com/channel/UC3ox_Y8wcCkkOpzw09r6GKg,
かどた正則,かどたまさのり,男,72歳,安楽死制度を考える会,,,千葉県,,,,,
浅野ふみ子,あさのふみこ,女,48歳,日本共産党,http://ameblo.jp/asafumi814/,,千葉県,http://ameblo.jp/asafumi814/,,,,
平塚正幸,ひらつかまさゆき,男,37歳,NHKから国民を守る党,http://sayuflatmound.com/,,千葉県,http://sayuflatmound.com/,https://twitter.com/sayuflatmound?ref_src=twsrc%5Etfw,https://www.facebook.com/sayuflatmound2,https://www.youtube.com/playlist?list=PL3--0W11J7zmkNUWoAXdYkhcLwU8yhVYK,https://www.instagram.com/sayu.flatmound/
丸川珠代,まるかわたまよ,女,48歳,自由民主党,http://t-marukawa.jp/,,東京都,http://t-marukawa.jp/,https://twitter.com/marukawatamayo,https://www.facebook.com/tamayomarukawa.fanpage/,https://www.youtube.com/channel/UC6Dc_rCR1JZ0I9mDHvRI3Hg?view_as=subscriber,https://www.instagram.com/marukawa.tamayo.tokyo/
塩村あやか,しおむらあやか,女,41歳,立憲民主党,http://www.shiomura-ayaka.com/,,東京都,http://www.shiomura-ayaka.com/,https://twitter.com/shiomura?ref_src=twsrc%5Etfw,https://www.facebook.com/shiomuraayakatokyo/,,
たけみ敬三,たけみけいぞう,男,67歳,自由民主党,http://takemi.net,,東京都,http://takemi.net,https://twitter.com/TakemiKeizo,https://www.facebook.com/keizo.takemi.fan/,,
山口なつお,やまぐちなつお,男,67歳,公明党,http://www.n-yamaguchi.gr.jp/,,東京都,http://www.n-yamaguchi.gr.jp/,https://twitter.com/yamaguchinatsuo,https://www.facebook.com/yamaguchi720/,https://www.youtube.com/channel/UCpv6edNp9PhMxhHoFPI72DA,
みぞぐち晃一,みぞぐちこういち,男,50歳,オリーブの木,http://koichi-mizoguchi.com/,,東京都,http://koichi-mizoguchi.com/,https://twitter.com/mzgc_yp_otaku?lang=ja&lang=ja,https://www.facebook.com/koichi.mizoguchi.tokyo/,https://www.youtube.com/channel/UCHUU8VHKcePqDgkjuX60aUg/videos,
森純,もりきよし,男,71歳,無所属,,,東京都,,,,,
山岸一生,やまぎしいっせい,男,37歳,立憲民主党,https://isseiyamagishi.jp,,東京都,https://isseiyamagishi.jp,https://twitter.com/isseiyamagishi?ref_src=twsrc%5Etfw,https://www.facebook.com/profile.php?id=100037006580197,,
吉良よし子,きらよしこ,女,36歳,日本共産党,https://kirayoshiko.com/,,東京都,https://kirayoshiko.com/,https://twitter.com/kirayoshiko,https://www.facebook.com/yoshikokira.official,,
水野もとこ,みずのもとこ,女,49歳,国民民主党,http://www.mizunomotoko.com/,,東京都,http://www.mizunomotoko.com/,https://twitter.com/spacemom2019?ref_src=twsrc%5Etfw,https://www.facebook.com/spacemom2019/,,
関口安弘,せきぐちやすひろ,男,67歳,無所属,,,東京都,,,,,
佐藤ひとし,さとうひとし,男,48歳,安楽死制度を考える会,,,東京都,,,,,
朝倉れい子,あさくられいこ,女,60歳,社会民主党,http://asakura2019.org,,東京都,http://asakura2019.org,https://twitter.com/reiko_asakura,http://asakura2019.org/#https://www.facebook.com/reikoasakura2019/,http://asakura2019.org/#https://www.youtube.com/channel/UC8utAbga2VMxPtIK2WvRoeQ,http://asakura2019.org/#https://www.instagram.com/asakurareiko2019/?hl=ja
おときた駿,おときたしゅん,男,35歳,日本維新の会,https://otokitashun.com/,,東京都,https://otokitashun.com/,https://twitter.com/otokita,http://www.facebook.com/otokitashun,,
七海ひろこ,ななみひろこ,女,34歳,幸福実現党,https://nanami-hiroko.net/,,東京都,https://nanami-hiroko.net/,https://twitter.com/‎hiroko_nanami,https://www.facebook.com/nanami.hiroko/,https://www.youtube.com/c/hirokonanami,https://www.instagram.com/nanamihiroko_/
横山まさひろ,よこやままさひろ,男,76歳,安楽死制度を考える会,,,東京都,,,,,
野原よしまさ,のはらよしまさ,男,59歳,れいわ新選組,,,東京都,,,,,
西野貞吉,にしのていきち,男,83歳,無所属,,,東京都,,,,,
大橋まさのぶ,おおはしまさのぶ,男,43歳,NHKから国民を守る党,http://www.nhkkara.jp/,,東京都,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
大塚紀久雄,おおつかきくお,男,78歳,日本無党派党,,,東京都,,,,,
野末陳平,のずえちんぺい,男,87歳,無所属,,,東京都,,,,,
乃木涼介,のぎりょうすけ,男,54歳,国民民主党,http://nogi-ryousuke.com,,神奈川県,http://nogi-ryousuke.com,https://twitter.com/nogiryosuke,https://www.facebook.com/%E4%B9%83%E6%9C%A8%E6%B6%BC%E4%BB%8B-1331144193571622/?fref=ts,,
佐々木さやか,ささきさやか,女,38歳,公明党,https://sasaki-sayaka.com,,神奈川県,https://sasaki-sayaka.com,https://twitter.com/sayaka_sasaki,https://www.facebook.com/sayaka.sasaki.jp/,http://www.youtube.com/user/SasakiSayakaCh,
相原りんこ,あいはらりんこ,女,58歳,社会民主党,https://www.rinkoaihara.com,,神奈川県,https://www.rinkoaihara.com,https://twitter.com/rinkoaihara,https://www.facebook.com/rinkoaihara.fujisawa,,https://www.instagram.com/rinkoaihara_fujisawa/?hl=ja
いき愛子,いきあいこ,女,33歳,幸福実現党,https://ikiaiko.info,,神奈川県,https://ikiaiko.info,https://twitter.com/ikiaiko,https://www.facebook.com/hrp.ikiaiko/,https://www.youtube.com/channel/UCf75okwuYJHYL6aqdFOB2Yg,https://www.instagram.com/hrp.ikiaiko/
澁谷貢,しぶやみつぎ,男,82歳,無所属,,,神奈川県,,,,,
森下正勝,もりしたまさかつ,男,75歳,無所属,https://morishitamasa.web.fc2.com/,,神奈川県,https://morishitamasa.web.fc2.com/,https://twitter.com/morishita100,,,
あくつ孝行,あくつたかゆき,男,69歳,労働の解放をめざす労働者党,,,神奈川県,,,,,
牧山ひろえ,まきやまひろえ,女,54歳,立憲民主党,http://www.makiyama-hiroe.jp/,,神奈川県,http://www.makiyama-hiroe.jp/,https://twitter.com/makiyama1192,https://www.facebook.com/makiyamahiroe/,https://www.youtube.com/user/makiyama1192/,https://www.instagram.com/makiyamahiroe/
林大祐,はやしだいすけ,男,43歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,神奈川県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
加藤友行,かとうともゆき,男,55歳,安楽死制度を考える会,,,神奈川県,,,,,
島村大,しまむらだい,男,58歳,自由民主党,http://www.shimamuradai.jp,,神奈川県,http://www.shimamuradai.jp,https://twitter.com/shimamura_dai?ref_src=twsrc%5Etfw,https://www.facebook.com/kanagawa.shimamura,https://www.youtube.com/channel/UCEA2E4qkYdDnYNVZu0yFXlg/videos,
あさか由香,あさかゆか,女,39歳,日本共産党,http://asakayuka.net,,神奈川県,http://asakayuka.net,https://twitter.com/asakayuka,https://www.facebook.com/jcpasaka,,
松沢しげふみ,まつざわしげふみ,男,61歳,日本維新の会,https://www.matsuzawa.com/,,神奈川県,https://www.matsuzawa.com/,https://twitter.com/matsuzawaoffice,https://www.facebook.com/matsuzawacom/,https://www.youtube.com/user/matsuzawachannel,
榎本たいし,えのもとたいし,男,41歳,オリーブの木,http://taishi0920.amebaownd.com,,神奈川県,http://taishi0920.amebaownd.com,https://twitter.com/amebaownd,,,
新潟県選挙区(定数1名),,,,,,,,,,,,
うち越さくら,うちこしさくら,女,51歳,無所属,http://www.tomonisaku-niigata.com/,,新潟県,http://www.tomonisaku-niigata.com/,https://twitter.com/TomoniSaku2019,https://www.facebook.com/%E3%81%86%E3%81%A1%E8%B6%8A%E3%81%95%E3%81%8F%E3%82%89-2042302809225452/,,https://www.instagram.com/tomonisaku2019/?igshid=ewjppxg9brqn&fbclid=IwAR17F0KQlFs1cJih9Rrq3jEqwnVpo1QQ1o1n6zunpdWJ98GRS_5PY8kafzA
つかだ一郎,つかだいちろう,男,55歳,自由民主党,https://www.t-ichiro.net/,,新潟県,https://www.t-ichiro.net/,https://twitter.com/tsukada_ichiro,https://www.facebook.com/tsukadaichiro/,,https://www.instagram.com/tsukadaichiro/
小島糾史,こじまただふみ,男,43歳,NHKから国民を守る党,http://www.nhkkara.jp/,,新潟県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
西尾まさえい,にしおまさえい,男,58歳,国民民主党,https://www.facebook.com/240toyama/,,富山県,https://www.facebook.com/240toyama/,,https://www.facebook.com/240toyama/#,,
どうこ茂,どうこしげる,男,66歳,自由民主党,https://www.douko-shigeru.com/,,富山県,https://www.douko-shigeru.com/,,,,
山田しゅうじ,やまだしゅうじ,男,65歳,自由民主党,https://yamada-syuji.com/,,石川県,https://yamada-syuji.com/,https://twitter.com/,https://www.facebook.com/yamadasyuji.ishikawa/,https://www.youtube.com/channel/UCUpYgKIArPVA9GKfEqzMOYQ/featured,https://www.instagram.com/yamadashuji55/?hl=ja
田辺とおる,たなべとおる,男,58歳,国民民主党,https://tanabetoru.com/,,石川県,https://tanabetoru.com/,,https://www.facebook.com/toru.tanabe,https://www.youtube.com/channel/UCLJNZ7osIjNix4bbkM-rj5w?sub_confirmation=1,
山田かずお,やまだかずお,男,52歳,日本共産党,https://www.yamadakazuo.com/,,福井県,https://www.yamadakazuo.com/,https://twitter.com/fukuiyamada,,,
嶋谷昌美,しまたにまさみ,男,48歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,福井県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
たきなみ宏文,たきなみひろふみ,男,47歳,自由民主党,http://www.takinami.info/,,福井県,http://www.takinami.info/,,,,
森屋ひろし,もりやひろし,男,62歳,自由民主党,https://www.facebook.com/hiroshi.moriya.1804,,山梨県,https://www.facebook.com/hiroshi.moriya.1804,,https://www.facebook.com/sangin.jimin/,,
いちき伴子,いちきともこ,女,41歳,無所属,https://ichiki-tomoko.org,,山梨県,https://ichiki-tomoko.org,https://twitter.com/ichiki_tomoko?ref_src=twsrc%5Etfw,,https://www.youtube.com/channel/UChaurZEzw7c6bUREo6QDAiw/featured,
猪野恵司,いのけいじ,男,35歳,NHKから国民を守る党,http://www.nhkkara.jp/,,山梨県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
羽田雄一郎,はたゆういちろう,男,51歳,国民民主党,https://www.y-hata.jp,,長野県,https://www.y-hata.jp,,,,
斉藤よしあき,さいとうよしあき,男,69歳,労働の解放をめざす労働者党,https://www.facebook.com/yoshiaki.saito.583/,,長野県,https://www.facebook.com/yoshiaki.saito.583/,,https://l.facebook.com/l.php?u=http%3A%2F%2Fwpll-j.org%2F&h=AT3Rc5RUIAarl4sjewDsyaO6y9nvuImycEgIK40PQ4lZ-gYnvK14XC9uitODt6oixPA62WygjaANgGYTAUWKnCTS8nOi8hJw7h2K5WGv9x_UZP7Iq6YJ49sxUpTBoSN2cJf9F3LQDh6NJGNzax4WNw,,
小松ゆたか,こまつゆたか,男,57歳,自由民主党,http://www.komatsuyutaka.com,,長野県,http://www.komatsuyutaka.com,https://twitter.com/komatsu_yutaka,https://www.facebook.com/komatsu.yutaka,https://www.youtube.com/channel/UCPxtT_hs7eDZkHbDPy8F3uQ,
古谷孝,ふるやたかし,男,43歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,長野県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
大野泰正,おおのやすただ,男,60歳,自由民主党,https://ohno-yasutada.com/,,岐阜県,https://ohno-yasutada.com/,https://twitter.com/ohno_yasutada,https://facebook.com/ohno.yasutada/,,https://www.instagram.com/oyasutada
梅村慎一,うめむらしんいち,男,48歳,立憲民主党,https://www.facebook.com/ichiume.08,,岐阜県,https://www.facebook.com/ichiume.08,,https://www.facebook.com/ichiume.08,,
坂本雅彦,さかもとまさひこ,男,47歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,岐阜県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
牧野たかお,まきのたかお,男,60歳,自由民主党,https://makino-net.com/,,静岡県,https://makino-net.com/,https://twitter.com/makinotakao,https://www.facebook.com/%E7%89%A7%E9%87%8E%E3%81%9F%E3%81%8B%E3%81%8A%E4%BA%8B%E5%8B%99%E6%89%80-533054890091497/,https://www.youtube.com/channel/UCNEteH0o7jBsfNvg7JoNcBQ,
徳川家広,とくがわいえひろ,男,54歳,立憲民主党,https://tokugawa.site,,静岡県,https://tokugawa.site,https://twitter.com/hiro_tokugawa,https://www.facebook.com/iehiro.tokugawa.staff/,https://www.youtube.com/channel/UCLnMp6VC-jvBkY47RqAllPw,
しんば賀津也,しんばかづや,男,52歳,国民民主党,http://www.k-shimba.com/,,静岡県,http://www.k-shimba.com/,https://twitter.com/SHIMBA_OFFICE,https://www.facebook.com/%E6%A6%9B%E8%91%89%E8%B3%80%E6%B4%A5%E4%B9%9F%E4%BA%8B%E5%8B%99%E6%89%80-144875399004252/,https://www.youtube.com/channel/UC88peYfCbtZD_J1DnkV57Rw,
鈴木ちか,すずきちか,女,48歳,日本共産党,http://www.facebook.com/pg/chikachikagogo/about/,,静岡県,http://www.facebook.com/pg/chikachikagogo/about/,,https://www.facebook.com/allactivity?privacy_source=activity_log_top_menu,,
畑山浩一,はたやまこういち,男,49歳,NHKから国民を守る党,,,静岡県,,,,,
安江のぶお,やすえのぶお,男,32歳,公明党,https://yasue-nobuo.com/,,愛知県,https://yasue-nobuo.com/,https://twitter.com/yasue_nobuo,https://www.facebook.com/yasue.nobuo/,https://www.youtube.com/channel/UCrAHBAlZ_wfi66P8PrNj57w,https://www.instagram.com/yasue.nobuo/
橋本べん,はしもとべん,男,65歳,オリーブの木,https://www.hashimotoben.com/,,愛知県,https://www.hashimotoben.com/,,,https://www.youtube.com/channel/UCHUU8VHKcePqDgkjuX60aUg,
大塚耕平,おおつかこうへい,男,59歳,国民民主党,https://ohtsuka-kohei.jp,,愛知県,https://ohtsuka-kohei.jp,https://twitter.com/kouhei1005mon?ref_src=twsrc%5Etfw,https://www.facebook.com/kouhei2019/,https://www.youtube.com/user/UCCD_gofOdJnUXTeFvxFln1A,
すやま初美,すやまはつみ,女,40歳,日本共産党,http://suyama-hatsumi.jp/,,愛知県,http://suyama-hatsumi.jp/,https://twitter.com/suyama_hatsumi,https://www.facebook.com/suyamahatsumi/,https://www.youtube.com/channel/UC29_sZpCibrk7m73ki5Yi6g,
古川ひとし,ふるかわひとし,男,65歳,労働の解放をめざす労働者党,http://wpll-j.org/,,愛知県,http://wpll-j.org/,https://twitter.com/rodousyatou,,https://www.youtube.com/watch?v=92edaghaGvQ&t=68s,
平山良平,ひらやまりょうへい,男,71歳,社会民主党,http://www.h-ryouhei.jp,,愛知県,http://www.h-ryouhei.jp,,,,
石井均,いしいひとし,男,54歳,無所属,https://hi1202.jimdofree.com,,愛知県,https://hi1202.jimdofree.com,,,https://www.youtube.com/watch?v=ShVTRrOLRQg&feature=youtu.be,
